Sample       Temp(C)      c_A(M)       c_B(M)       Purity(%)   
000045       20.000000    0.500000     0.500000     0.575872    
000046       20.000000    0.500000     0.600000     0.576811    
000047       20.000000    0.500000     0.700000     0.555937    
000048       20.000000    0.500000     0.800000     0.600951    
000049       20.000000    0.500000     0.900000     0.567805    
000050       30.000000    0.100000     0.500000     0.703145    
000051       30.000000    0.100000     0.600000     0.646774    
000052       30.000000    0.100000     0.700000     0.686881    
000053       30.000000    0.100000     0.800000     0.722817    
000054       30.000000    0.100000     0.900000     0.710949    
000055       30.000000    0.200000     0.500000     0.660018    
000056       30.000000    0.200000     0.600000     0.673963    
000057       30.000000    0.200000     0.700000     0.642734    
000058       30.000000    0.200000     0.800000     0.709860    
000059       30.000000    0.200000     0.900000     0.736110    
000060       30.000000    0.300000     0.500000     0.678385    
000061       30.000000    0.300000     0.600000     0.651550    
000062       30.000000    0.300000     0.700000     0.656839    
000063       30.000000    0.300000     0.800000     0.638782    
000064       30.000000    0.300000     0.900000     0.652584    
000065       30.000000    0.400000     0.500000     0.713760    
000066       30.000000    0.400000     0.600000     0.704961    
000067       30.000000    0.400000     0.700000     0.662354    
000068       30.000000    0.400000     0.800000     0.722323    
000069       30.000000    0.400000     0.900000     0.708405    
000070       30.000000    0.500000     0.500000     0.738842    
000071       30.000000    0.500000     0.600000     0.679541    
000072       30.000000    0.500000     0.700000     0.645162    
000073       30.000000    0.500000     0.800000     0.701423    
000074       30.000000    0.500000     0.900000     0.700393    
000075       40.000000    0.100000     0.500000     0.772564    
000076       40.000000    0.100000     0.600000     0.754497    
000077       40.000000    0.100000     0.700000     0.789280    
000078       40.000000    0.100000     0.800000     0.779517    
000079       40.000000    0.100000     0.900000     0.841509    
000080       40.000000    0.200000     0.500000     0.839537    
000081       40.000000    0.200000     0.600000     0.778323    
000082       40.000000    0.200000     0.700000     0.730249    
000083       40.000000    0.200000     0.800000     0.797086    
000084       40.000000    0.200000     0.900000     0.781744    
000085       40.000000    0.300000     0.500000     0.789865    
000086       40.000000    0.300000     0.600000     0.742658    
000087       40.000000    0.300000     0.700000     0.735357    
000088       40.000000    0.300000     0.800000     0.785085    
000089       40.000000    0.300000     0.900000     0.771293    
000090       40.000000    0.400000     0.500000     0.821874    
000091       40.000000    0.400000     0.600000     0.803184    
000092       40.000000    0.400000     0.700000     0.790241    
000093       40.000000    0.400000     0.800000     0.819991    
000094       40.000000    0.400000     0.900000     0.755732    
000095       40.000000    0.500000     0.500000     0.841073    
000096       40.000000    0.500000     0.600000     0.763606    
000097       40.000000    0.500000     0.700000     0.792638    
000098       40.000000    0.500000     0.800000     0.819810    
000099       40.000000    0.500000     0.900000     0.754272    
000100       50.000000    0.100000     0.500000     0.869579    
000101       50.000000    0.100000     0.600000     0.859450    
000102       50.000000    0.100000     0.700000     0.872700    
000103       50.000000    0.100000     0.800000     0.838622    
000104       50.000000    0.100000     0.900000     0.864295    
000105       50.000000    0.200000     0.500000     0.896583    
000106       50.000000    0.200000     0.600000     0.893934    
000107       50.000000    0.200000     0.700000     0.890663    
000108       50.000000    0.200000     0.800000     0.889736    
000109       50.000000    0.200000     0.900000     0.903162    
000110       50.000000    0.300000     0.500000     0.911112    
000111       50.000000    0.300000     0.600000     0.845242    
000112       50.000000    0.300000     0.700000     0.890016    
000113       50.000000    0.300000     0.800000     0.864229    
000114       50.000000    0.300000     0.900000     0.842052    
000115       50.000000    0.400000     0.500000     0.940966    
000116       50.000000    0.400000     0.600000     0.890223    
000117       50.000000    0.400000     0.700000     0.856321    
000118       50.000000    0.400000     0.800000     0.893236    
000119       50.000000    0.400000     0.900000     0.893954    
000120       50.000000    0.500000     0.500000     0.942649    
000121       50.000000    0.500000     0.600000     0.881588    
000122       50.000000    0.500000     0.700000     0.817216    
000123       50.000000    0.500000     0.800000     0.886751    
000124       50.000000    0.500000     0.900000     0.911524    
