Inlet_Diameter_(cm),Maximum_Capacity_(GPM),Max_Head_(ft),Minimum_Thickness_(mm)
15.11939098,14682.30087,544.0318692,10.9983749
15.48302222,14482.57438,544.4697474,10.59496803
15.52402405,14509.34656,544.9050947,11.00827938
14.94002091,14682.0617,541.976099,10.69420232
14.48433852,14484.1562,544.2897896,9.579121238
14.95410073,14627.75345,541.898774,10.86526134
15.09980061,14705.3642,541.60679,10.05526749
14.7403301,14525.76737,545.0719356,10.58882604
15.2545085,14480.31038,544.8973187,10.25120361
14.29098301,14853.02858,544.6367799,9.711515763
14.21705241,14901.92905,543.7585766,9.932776029
14.88712483,14695.13637,540.9689897,10.13532169
